,title,year,genres,description,rating
1201,Radha Gopalam,2005,Drama            ,    The clash between husband and wife when they are standing against each other on the same case and how did they survive the ego tiff ?,6.3
1202,Donga Mogudu,1987,"Action, Comedy            ","    It is a remake of an English movie, Trading Places(1983) directed by John Landis with the lead roles of Eddie Murphy, Dan Aykroyd and Ralph Bellamy.",7.3
1203,Rangula Raatnam,2018,Romance            ,"    Vishnu is a happy go software engineer sharing a very close bond with his mom. She even suggests him to love a girl. With this, as time passes, he falls in love with Keerthi. After this, ...                See full summary »",6.2
1204,Adda,2013,Drama            ,    This story is about a marriage commission agent who fixes and makes arrangements for rejection of marriage according to client. This boy starts loving her client who came to make arrangements for her sister's marriage rejection.,6
1205,Kalidasu,,"Action, Drama, Romance            ",nan,3.7
1206,Ela Cheppanu,2003,Romance            ,nan,6.1
1207,Vishwanatha Nayakudu,1987,"Action, Drama, History            ",    The story is based on Indian historical events during the 16th century. It narrates the victory of Viswanatha Nayak on his father to express his devotion towards Srikrishnadevaraya. ...                See full summary »,7.7
1208,Sri Madvirat Veera Brahmendra Swamy Charitra,1984,"Drama, History, Musical            ",    The story of this film is based on the life of a well known saint and astrologer Pothuluru Veerabrahmendra Swamy.,7.7
1209,Brahma,2014,"Action, Comedy, Drama            ","    Bramha (Upendra) a notorious gangster who is a nightmare for politicians and the police. The Police appoint ACP Shinde to nab Bramha, but Brahma escapes to Malaysia on a secret mission ...                See full summary »",5.4
1210,Madatha Kaaja,2011,Comedy            ,    A comic account of a police informer who comes across two dangerous criminal dons whom he wishes to bring to justice.,5.4
1211,Dollar Dreams,2000,Drama            ,    Youngsters decide whether to make careers and settle down in the United States or in their homeland (India).,7.9
1212,Betting Bangarraju,2010,Comedy            ,nan,6.3
1213,Athili Sathibabu LKG,2007,Comedy            ,nan,5.3
1214,Vinara sodara veera kumara,2019,"Drama, Romance            ",    Vinara Sodara Veera Kumara is an unusual story of love and realization. Ramana (Srinivas Sai) falls in love with Sulochana (Priyanka Jain) but their relationship fails to materialize due to...                See full summary »,7.6
1215,Tenali Ramakrishna,,"Comedy, Drama            ","    This film is based on a famous Telugu poet "" Tenali Ramakrishna """,7.9
1216,Maharshi,1988,Romance            ,"    After a college student becomes obsessed with a co-ed, she and her husband attempt to heal him, with dangerous consequences.",7.9
1217,Idi Kathakaadu,1979,"Drama, Family            ",nan,8.1
1218,Agni Nakshatram,1989,Drama            ,nan,8.5
1219,Bandipotu,2015,"Comedy, Crime, Drama            ",    A woman with the help of a con man avenges her father's backstabbers.,6.2
1220,Onamalu,2012,Drama            ,    A Feel Good Heart Touching Movie..Must Watch..!!!!,8
1221,Vaana,2008,Romance            ,    The story of a young man who sacrifices his love for the happiness of everyone around him.,6.5
1222,Jodi,2019,Romance            ,    Kapil (Aadi Saikumar) falls for Kanchana Mala (Shraddha Srinath) because of her ideals. But what happens when Kapil's father's (Naresh) ideals cause issues for them?,6.2
1223,Madhumasam,2007,Romance            ,"    A relationship between two opposites, an overly practical Sanjay and a hopelessly romantic Hamsa",6.6
1224,Bhakta Prahlada,1932,"Drama, Fantasy            ",    Bhakta Prahlada is the first full length Telugu talkie film based on the story of Narasimha and Prahlada in Hindu mythology.,7.1
1225,Team 5,2017,"Adventure, Sport            ",    Akhil who is the back bone of his gang participates in racing tournaments all around the city along with his gang mates. Akhil's life takes a dramatic turn when he falls in love with an event manager Irene.,4.4
1226,Sandhippoma,1998,"Drama, Romance            ","    Two friends, who've known each other for a while, fall in love. But, their relationship is thrown in turmoil when the boy's father is in the news for a secret relationship.",8.2
1227,Ice Cream 2,2014,"Horror, Thriller            ",    Fate of a short film crew vs burglar crew who just robbed a bank.,3.6
1228,Okkadine,2013,"Action, Romance            ",    Shailaja comes in contact with a happy family when she visits her friend's village. Things take turn when she learns that they all died two years back.,5.6
1229,Kiccha Huccha,2010,"Drama, Romance            ",nan,6
1230,Visakha Express,2008,"Action, Crime, Drama            ",    A mentally imbalanced doctor goes on the run from the police after being accused of killing his alcoholic father.,5
1231,Aaviri,2019,"Drama, Thriller            ","    After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",4.5
1232,Brindavanam,1992,"Comedy, Drama            ",    Panakalu (Satyanarayana) betrays Ravi's (Rajendra Prasad) grandparents and fraudulently occupies their house named Brindavanam. Ravi promises his grandmother that he will take back the ...                See full summary »,7.4
1233,Rudranetra,1989,"Action, Crime, Thriller            ",    Agent Nethra is summoned to stop a maniac out to poison India.,6.7
1234,Kaali,1980,"Action, Drama            ",nan,6.3
1235,Bobbili Puli,1982,"Action, Drama            ",    The story of a war-hero who returns to his place only to find the society in a mess and tries to repair it in his own way and ends up getting hanged.,7
1236,Manavoori Pandavulu,1978,Drama            ,    5 youngsters come together with help of Krishnamraju to oppose their village sarpanch's cruel deeds. A movie made on the lines of Mahabharatham without all the noise and shouting of a ...                See full summary »,8.2
1237,Next Nuvve,2017,Horror            ,    A hotel business owner (Aadi Sai Kumar) is blackmailed by his partner (Jayaprakash Reddy) to repay his debt in order to save lives of hotel customers.,5.8
1238,Joru,2014,Comedy            ,"    Friends on a road trip pick up a damsel in distress, only to find themselves pursued by goons who are apparently after said damsel.",5.6
1239,Ko antey koti,2012,"Comedy, Crime, Romance            ",nan,6.2
1240,Kalyan Ram Kathi,2010,"Action, Drama            ","    A football player, who's also a protective brother, unleashes his rage when his sister goes missing and is found married to a person harassing her.",6
1241,Priyamyna Neeku...,2001,"Drama, Romance            ","    Evocative and eloquent, this touching romantic tale traces the twists and turns in the life of a quiet, introverted young woman, who falls in love with her friend's brother. When her own ...                See full summary »",6.8
1242,Vamsodharakudu,2000,Drama            ,nan,6.4
1243,Super Police,1994,"Action, Thriller            ",nan,5.6
1244,Bamma Maata Bangaru Baata,1990,"Comedy, Drama            ",    Bamma Maata Bangaru Baata movie is a fun ride where Krishna (Rajendra Prasad) marries Seetha (Gouthami) under unavoidable circumstances leaving his grandparents disappointed. They ask him ...                See full summary »,7.2
1245,Mantra 2,2013,"Comedy, Crime, Horror            ",    A girl living with an old couple in their house as paying guest finds out that the old couple died years ago and the house where she lives is seized by police.,4.5
1246,Prema Ishq Kaadhal,2013,Drama            ,"    Three youngsters are out in life with no intent of the future, until they meet three lovely ladies. What happens next, changes their perspective of life.",6.8
1247,Galipatam,2014,Drama            ,"    Galipatam is the story of a couple Karthi (Aadi) and Swetha (Erica Fernandes) who are considered as the best couple but actually have their own differences. One thing leads to another, and ...                See full summary »",5.7
1248,Katha,2009,Drama            ,    Chitra (Genelia) is a loner and she comes to Araku seeking employment as a teacher in a kids school. Krishna (Arun) is an aspiring director. He comes to Araku to do trail shoot and complete...                See full summary »,6.5
1249,Peddannayya,1997,Drama            ,nan,7.6
1250,Lakshmi Kalyanam,2007,"Action, Drama            ",nan,5.3
1251,Avunanna Kadanna,2005,Romance            ,"    Mangaraju is the dreaded landlord of Lanka. He forcibly grabs the lands and farms of farmers in Lanka. In the process, he grabs the land of Ravi's father. Ravi grows up in a nearby village....                See full summary »",5.7
1252,Bava Bava Panneeru,1989,Comedy            ,"    Kota Srinivasa Rao is a wealthy man, with poor relatives waiting for him to die so that they can get their hands on his money. Kota wants to get married so that he can leave his health to ...                See full summary »",7.5
1253,Balakrishnudu,2017,"Action, Comedy, Romance            ","    A local toughie is hired as a bodyguard to protect a girl from the rivals of her family and becomes a natural target for her enemies. In the process, he ends up falling in love with her.",4.6
1254,Partha,2003,"Action, Romance            ",nan,7.1
1255,Athade Oka Sainyam,2004,Action            ,nan,7.1
1256,Rakshana,1993,Drama            ,nan,7.2
1257,Garam,2016,"Action, Romance            ","    An unemployed troublemaker is forced by his father to leave home and go in search of work to the city of Hyderabad, where the youngster promptly falls in love. Can he learn responsibility and protect his loved ones?",4.9
1258,Raja Cheyyi Vesthe,2016,"Action, Romance, Thriller            ","    An aspiring film director narrates a breath-taking story to his girlfriend in a coffee shop. An unknown message knocks the door the next day, asking him to write a love story. He sends his ...                See full summary »",5.7
